Битва началась! цыан vs лдва
Построение: Одна колонна (1×1)

Битва началась! цыан vs лдва
Построение: Одна колонна (1×1)
⚔ Сильный боец#1 → Маг#1: −16 HP
⚔ Маг#1 → Сильный боец#1: −1 HP
⚔ Сильный боец#1 → Маг#1: −16 HP
☠ Маг#1 пал от руки Сильный боец#1
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP
⚔ Сильный боец#1 → Гуляй город#2: −1 HP

═══════════════════════════════════════
Всего ходов: 42
РЕЗУЛЬТАТ: НИЧЬЯ!
